slac_date & time,slac_unix_date,slac_power,s1_date & time,s1_unix_date,s1_power,s2_date & time,s2_unix_date,s2_power
2021-11-21 17:17:13,1637543833,0.000,2021-11-21 17:17:13,1637543833,0.000,2021-11-21 17:17:13,1637543833,0.000
2021-11-21 17:17:15,1637543835,0.000,2021-11-21 17:17:15,1637543835,0.000,2021-11-21 17:17:15,1637543835,0.000
2021-11-21 17:17:18,1637543838,0.000,2021-11-21 17:17:18,1637543838,0.000,2021-11-21 17:17:18,1637543838,0.000
2021-11-21 17:17:20,1637543840,0.000,2021-11-21 17:17:20,1637543840,0.000,2021-11-21 17:17:20,1637543840,0.000
2021-11-21 17:17:22,1637543842,0.000,2021-11-21 17:17:22,1637543842,0.000,2021-11-21 17:17:22,1637543842,0.000
2021-11-21 17:17:24,1637543844,0.000,2021-11-21 17:17:24,1637543844,0.000,2021-11-21 17:17:24,1637543844,0.000
2021-11-21 17:17:26,1637543846,0.000,2021-11-21 17:17:26,1637543846,0.000,2021-11-21 17:17:26,1637543846,0.000
2021-11-21 17:17:29,1637543849,0.000,2021-11-21 17:17:29,1637543849,0.000,2021-11-21 17:17:29,1637543849,0.000
2021-11-21 17:17:31,1637543851,0.000,2021-11-21 17:17:31,1637543851,0.000,2021-11-21 17:17:31,1637543851,0.000
2021-11-21 17:17:33,1637543853,0.000,2021-11-21 17:17:33,1637543853,0.000,2021-11-21 17:17:33,1637543853,0.000
2021-11-21 17:17:35,1637543855,0.000,2021-11-21 17:17:35,1637543855,0.000,2021-11-21 17:17:35,1637543855,0.000
2021-11-21 17:17:37,1637543857,0.000,2021-11-21 17:17:37,1637543857,0.000,2021-11-21 17:17:37,1637543857,0.000
2021-11-21 17:17:39,1637543859,0.000,2021-11-21 17:17:39,1637543859,0.000,2021-11-21 17:17:39,1637543859,0.000
2021-11-21 17:17:41,1637543861,0.000,2021-11-21 17:17:41,1637543861,0.000,2021-11-21 17:17:41,1637543861,0.000
2021-11-21 17:17:43,1637543863,0.000,2021-11-21 17:17:43,1637543863,0.000,2021-11-21 17:17:43,1637543863,0.000
2021-11-21 17:17:45,1637543865,0.000,2021-11-21 17:17:45,1637543865,0.000,2021-11-21 17:17:45,1637543865,0.000
