slac_date & time,slac_unix_date,slac_power,s1_date & time,s1_unix_date,s1_power,s2_date & time,s2_unix_date,s2_power
2021-11-21 20:26:04,1637555164,0.000,2021-11-21 20:26:04,1637555164,0.000,2021-11-21 20:26:04,1637555164,0.000
2021-11-21 20:26:06,1637555166,0.000,2021-11-21 20:26:06,1637555166,0.000,2021-11-21 20:26:06,1637555166,0.000
2021-11-21 20:26:08,1637555168,0.000,2021-11-21 20:26:08,1637555168,0.000,2021-11-21 20:26:08,1637555168,0.000
2021-11-21 20:26:10,1637555170,0.000,2021-11-21 20:26:10,1637555170,0.000,2021-11-21 20:26:10,1637555170,0.000
2021-11-21 20:26:12,1637555172,0.000,2021-11-21 20:26:12,1637555172,0.000,2021-11-21 20:26:12,1637555172,0.000
2021-11-21 20:26:15,1637555175,0.000,2021-11-21 20:26:15,1637555175,0.000,2021-11-21 20:26:15,1637555175,0.000
2021-11-21 20:26:17,1637555177,0.000,2021-11-21 20:26:17,1637555177,0.000,2021-11-21 20:26:17,1637555177,0.000
2021-11-21 20:26:18,1637555178,0.000,2021-11-21 20:26:18,1637555178,0.000,2021-11-21 20:26:18,1637555178,0.000
2021-11-21 20:26:21,1637555181,0.000,2021-11-21 20:26:21,1637555181,0.000,2021-11-21 20:26:21,1637555181,0.000
2021-11-21 20:26:23,1637555183,0.000,2021-11-21 20:26:23,1637555183,0.000,2021-11-21 20:26:23,1637555183,0.000
2021-11-21 20:26:25,1637555185,0.000,2021-11-21 20:26:25,1637555185,0.000,2021-11-21 20:26:25,1637555185,0.000
2021-11-21 20:26:27,1637555187,0.000,2021-11-21 20:26:27,1637555187,0.000,2021-11-21 20:26:27,1637555187,0.000
2021-11-21 20:26:30,1637555190,0.000,2021-11-21 20:26:30,1637555190,0.000,2021-11-21 20:26:30,1637555190,0.000
2021-11-21 20:26:32,1637555192,0.000,2021-11-21 20:26:32,1637555192,0.000,2021-11-21 20:26:32,1637555192,0.000
2021-11-21 20:26:34,1637555194,0.000,2021-11-21 20:26:34,1637555194,0.000,2021-11-21 20:26:34,1637555194,0.000
