slac_date & time,slac_unix_date,slac_power,s1_date & time,s1_unix_date,s1_power,s2_date & time,s2_unix_date,s2_power
2021-11-21 17:25:27,1637544327,0.000,2021-11-21 17:25:27,1637544327,0.000,2021-11-21 17:25:27,1637544327,0.000
2021-11-21 17:25:30,1637544330,0.000,2021-11-21 17:25:30,1637544330,0.000,2021-11-21 17:25:30,1637544330,0.000
2021-11-21 17:25:32,1637544332,0.000,2021-11-21 17:25:32,1637544332,0.000,2021-11-21 17:25:32,1637544332,0.000
2021-11-21 17:25:35,1637544335,0.000,2021-11-21 17:25:35,1637544335,0.000,2021-11-21 17:25:35,1637544335,0.000
2021-11-21 17:25:37,1637544337,0.000,2021-11-21 17:25:37,1637544337,0.000,2021-11-21 17:25:37,1637544337,0.000
2021-11-21 17:25:39,1637544339,0.000,2021-11-21 17:25:39,1637544339,0.000,2021-11-21 17:25:39,1637544339,0.000
2021-11-21 17:25:41,1637544341,0.000,2021-11-21 17:25:41,1637544341,0.000,2021-11-21 17:25:41,1637544341,0.000
2021-11-21 17:25:43,1637544343,0.000,2021-11-21 17:25:43,1637544343,0.000,2021-11-21 17:25:43,1637544343,0.000
2021-11-21 17:25:45,1637544345,0.000,2021-11-21 17:25:45,1637544345,0.000,2021-11-21 17:25:45,1637544345,0.000
2021-11-21 17:25:47,1637544347,0.000,2021-11-21 17:25:47,1637544347,0.000,2021-11-21 17:25:47,1637544347,0.000
2021-11-21 17:25:49,1637544349,0.000,2021-11-21 17:25:49,1637544349,0.000,2021-11-21 17:25:49,1637544349,0.000
2021-11-21 17:25:51,1637544351,0.000,2021-11-21 17:25:51,1637544351,0.000,2021-11-21 17:25:51,1637544351,0.000
2021-11-21 17:25:54,1637544354,0.000,2021-11-21 17:25:54,1637544354,0.000,2021-11-21 17:25:54,1637544354,0.000
2021-11-21 17:25:56,1637544356,0.000,2021-11-21 17:25:56,1637544356,0.000,2021-11-21 17:25:56,1637544356,0.000
2021-11-21 17:25:58,1637544358,0.000,2021-11-21 17:25:58,1637544358,0.000,2021-11-21 17:25:58,1637544358,0.000
2021-11-21 17:26:00,1637544360,0.000,2021-11-21 17:26:00,1637544360,0.000,2021-11-21 17:26:00,1637544360,0.000
2021-11-21 17:26:03,1637544363,0.000,2021-11-21 17:26:03,1637544363,0.000,2021-11-21 17:26:03,1637544363,0.000
2021-11-21 17:26:05,1637544365,0.000,2021-11-21 17:26:05,1637544365,0.000,2021-11-21 17:26:05,1637544365,0.000
