slac_date & time,slac_unix_date,slac_power,home1_date & time,home1_unix_date,home1_power,agg1_date & time,agg1_unix_date,agg1_power,s1_date & time,s1_unix_date,s1_power,s2_date & time,s2_unix_date,s2_power,home2_date & time,home2_unix_date,home2_power,agg2_date & time,agg2_unix_date,agg2_power
2021-11-21 17:58:56,1637546336,0.000,2021-11-21 17:58:57,1637546337,0.000,2021-11-21 17:58:57,1637546337,0.000,2021-11-21 17:58:57,1637546337,0.000,2021-11-21 17:58:57,1637546337,0.000,2021-11-21 17:58:59,1637546339,0.000,2021-11-21 17:59:02,1637546342,0.000
2021-11-21 17:59:03,1637546343,0.000,2021-11-21 17:59:04,1637546344,0.000,2021-11-21 17:59:04,1637546344,0.000,2021-11-21 17:59:04,1637546344,0.000,2021-11-21 17:59:04,1637546344,0.000,2021-11-21 17:59:05,1637546345,0.000,2021-11-21 17:59:05,1637546345,0.000
2021-11-21 17:59:06,1637546346,0.000,2021-11-21 17:59:08,1637546348,0.000,2021-11-21 17:59:08,1637546348,0.000,2021-11-21 17:59:08,1637546348,0.000,2021-11-21 17:59:08,1637546348,0.000,2021-11-21 17:59:09,1637546349,0.000,2021-11-21 17:59:12,1637546352,0.000
2021-11-21 17:59:13,1637546353,0.000,2021-11-21 17:59:14,1637546354,0.000,2021-11-21 17:59:14,1637546354,0.000,2021-11-21 17:59:14,1637546354,0.000,2021-11-21 17:59:14,1637546354,0.000,2021-11-21 17:59:15,1637546355,0.000,2021-11-21 17:59:18,1637546358,0.000
2021-11-21 17:59:19,1637546359,0.000,2021-11-21 17:59:20,1637546360,0.000,2021-11-21 17:59:20,1637546360,0.000,2021-11-21 17:59:20,1637546360,0.000,2021-11-21 17:59:20,1637546360,0.000,2021-11-21 17:59:21,1637546361,0.000,2021-11-21 17:59:25,1637546365,0.000
2021-11-21 17:59:26,1637546366,0.000,2021-11-21 17:59:27,1637546367,0.000,2021-11-21 17:59:27,1637546367,0.000,2021-11-21 17:59:27,1637546367,0.000,2021-11-21 17:59:27,1637546367,0.000,2021-11-21 17:59:28,1637546368,0.000,2021-11-21 17:59:31,1637546371,0.000
2021-11-21 17:59:32,1637546372,0.000,2021-11-21 17:59:33,1637546373,200.028,2021-11-21 17:59:33,1637546373,198.340,2021-11-21 17:59:33,1637546373,198.340,2021-11-21 17:59:33,1637546373,0.000,2021-11-21 17:59:34,1637546374,0.000,2021-11-21 17:59:34,1637546374,0.000
2021-11-21 17:59:35,1637546375,0.000,2021-11-21 17:59:36,1637546376,200.028,2021-11-21 17:59:36,1637546376,198.340,2021-11-21 17:59:36,1637546376,198.340,2021-11-21 17:59:36,1637546376,0.000,2021-11-21 17:59:37,1637546377,0.000,2021-11-21 17:59:41,1637546381,0.000
2021-11-21 17:59:42,1637546382,700.098,2021-11-21 17:59:43,1637546383,500.070,2021-11-21 17:59:43,1637546383,1190.040,2021-11-21 17:59:43,1637546383,1190.040,2021-11-21 17:59:43,1637546383,0.000,2021-11-21 17:59:44,1637546384,0.000,2021-11-21 17:59:44,1637546384,0.000
2021-11-21 17:59:45,1637546385,700.098,2021-11-21 17:59:46,1637546386,1099.917,2021-11-21 17:59:46,1637546386,1784.825,2021-11-21 17:59:46,1637546386,1784.825,2021-11-21 17:59:46,1637546386,0.000,2021-11-21 17:59:47,1637546387,0.000,2021-11-21 17:59:50,1637546390,0.000
2021-11-21 17:59:51,1637546391,700.098,2021-11-21 17:59:52,1637546392,999.903,2021-11-21 17:59:52,1637546392,1685.655,2021-11-21 17:59:52,1637546392,1685.655,2021-11-21 17:59:52,1637546392,0.000,2021-11-21 17:59:53,1637546393,0.000,2021-11-21 17:59:56,1637546396,0.000
2021-11-21 17:59:57,1637546397,700.098,2021-11-21 17:59:58,1637546398,999.903,2021-11-21 17:59:58,1637546398,1685.655,2021-11-21 17:59:58,1637546398,1685.655,2021-11-21 17:59:58,1637546398,0.000,2021-11-21 18:00:00,1637546400,0.000,2021-11-21 18:00:02,1637546402,0.000
2021-11-21 18:00:03,1637546403,700.098,2021-11-21 18:00:05,1637546405,999.932,2021-11-21 18:00:05,1637546405,1689.885,2021-11-21 18:00:05,1637546405,1689.885,2021-11-21 18:00:05,1637546405,0.000,2021-11-21 18:00:06,1637546406,0.000,2021-11-21 18:00:09,1637546409,0.000
2021-11-21 18:00:10,1637546410,700.098,2021-11-21 18:00:11,1637546411,999.903,2021-11-21 18:00:11,1637546411,1685.655,2021-11-21 18:00:11,1637546411,1685.655,2021-11-21 18:00:11,1637546411,0.000,2021-11-21 18:00:12,1637546412,0.000,2021-11-21 18:00:15,1637546415,0.000
2021-11-21 18:00:16,1637546416,700.098,2021-11-21 18:00:17,1637546417,999.932,2021-11-21 18:00:17,1637546417,1689.885,2021-11-21 18:00:17,1637546417,1689.885,2021-11-21 18:00:17,1637546417,0.000,2021-11-21 18:00:18,1637546418,0.000,2021-11-21 18:00:22,1637546422,0.000
2021-11-21 18:00:23,1637546423,700.098,2021-11-21 18:00:24,1637546424,999.932,2021-11-21 18:00:24,1637546424,1689.885,2021-11-21 18:00:24,1637546424,1689.885,2021-11-21 18:00:24,1637546424,0.000,2021-11-21 18:00:25,1637546425,0.000,2021-11-21 18:00:28,1637546428,0.000
2021-11-21 18:00:29,1637546429,700.098,2021-11-21 18:00:30,1637546430,999.932,2021-11-21 18:00:30,1637546430,1689.885,2021-11-21 18:00:30,1637546430,1689.885,2021-11-21 18:00:30,1637546430,0.000,2021-11-21 18:00:31,1637546431,0.000,2021-11-21 18:00:35,1637546435,0.000
2021-11-21 18:00:36,1637546436,700.098,2021-11-21 18:00:37,1637546437,999.932,2021-11-21 18:00:37,1637546437,1689.885,2021-11-21 18:00:37,1637546437,1689.885,2021-11-21 18:00:37,1637546437,0.000,2021-11-21 18:00:38,1637546438,0.000,2021-11-21 18:00:38,1637546438,0.000
2021-11-21 18:00:39,1637546439,700.098,2021-11-21 18:00:40,1637546440,1099.996,2021-11-21 18:00:40,1637546440,1789.525,2021-11-21 18:00:40,1637546440,1789.525,2021-11-21 18:00:40,1637546440,0.000,2021-11-21 18:00:41,1637546441,0.000,2021-11-21 18:00:44,1637546444,0.000
2021-11-21 18:00:45,1637546445,700.098,2021-11-21 18:00:46,1637546446,999.903,2021-11-21 18:00:46,1637546446,1685.655,2021-11-21 18:00:46,1637546446,1685.655,2021-11-21 18:00:46,1637546446,0.000,2021-11-21 18:00:47,1637546447,0.000,2021-11-21 18:00:50,1637546450,0.000
2021-11-21 18:00:51,1637546451,700.098,2021-11-21 18:00:52,1637546452,999.932,2021-11-21 18:00:52,1637546452,1689.885,2021-11-21 18:00:52,1637546452,1689.885,2021-11-21 18:00:52,1637546452,0.000,2021-11-21 18:00:53,1637546453,0.000,2021-11-21 18:00:57,1637546457,0.000
2021-11-21 18:00:58,1637546458,700.098,2021-11-21 18:00:59,1637546459,999.932,2021-11-21 18:00:59,1637546459,1689.885,2021-11-21 18:00:59,1637546459,1689.885,2021-11-21 18:00:59,1637546459,0.000,2021-11-21 18:01:00,1637546460,0.000,2021-11-21 18:01:03,1637546463,0.000
2021-11-21 18:01:04,1637546464,700.098,2021-11-21 18:01:05,1637546465,999.903,2021-11-21 18:01:05,1637546465,1685.655,2021-11-21 18:01:05,1637546465,1685.655,2021-11-21 18:01:05,1637546465,0.000,2021-11-21 18:01:06,1637546466,0.000,2021-11-21 18:01:06,1637546466,0.000
2021-11-21 18:01:07,1637546467,700.098,2021-11-21 18:01:08,1637546468,999.932,2021-11-21 18:01:08,1637546468,1689.885,2021-11-21 18:01:08,1637546468,1689.885,2021-11-21 18:01:08,1637546468,0.000,2021-11-21 18:01:09,1637546469,0.000,2021-11-21 18:01:19,1637546479,0.000
2021-11-21 18:01:25,1637546485,700.098,2021-11-21 18:01:26,1637546486,999.932,2021-11-21 18:01:26,1637546486,1689.885,2021-11-21 18:01:26,1637546486,759.990,2021-11-21 18:01:26,1637546486,929.895,2021-11-21 18:01:28,1637546488,0.000,2021-11-21 18:01:32,1637546492,1125.650
2021-11-21 18:01:32,1637546492,700.098,2021-11-21 18:01:33,1637546493,1399.959,2021-11-21 18:01:33,1637546493,2082.335,2021-11-21 18:01:33,1637546493,1152.440,2021-11-21 18:01:33,1637546493,929.895,2021-11-21 18:01:35,1637546495,199.920,2021-11-21 18:01:38,1637546498,1223.645
2021-11-21 18:01:39,1637546499,700.098,2021-11-21 18:01:40,1637546500,1399.959,2021-11-21 18:01:40,1637546500,2082.335,2021-11-21 18:01:40,1637546500,1152.440,2021-11-21 18:01:40,1637546500,929.895,2021-11-21 18:01:41,1637546501,799.920,2021-11-21 18:01:45,1637546505,2300.650
2021-11-21 18:01:46,1637546506,900.104,2021-11-21 18:01:47,1637546507,1399.959,2021-11-21 18:01:47,1637546507,2284.435,2021-11-21 18:01:47,1637546507,1354.540,2021-11-21 18:01:47,1637546507,929.895,2021-11-21 18:01:48,1637546508,1399.920,2021-11-21 18:01:51,1637546511,2300.650
2021-11-21 18:01:52,1637546512,999.903,2021-11-21 18:01:53,1637546513,1499.973,2021-11-21 18:01:53,1637546513,2478.780,2021-11-21 18:01:53,1637546513,1548.885,2021-11-21 18:01:53,1637546513,929.895,2021-11-21 18:01:54,1637546514,1300.080,2021-11-21 18:01:57,1637546517,2202.890
2021-11-21 18:01:58,1637546518,999.903,2021-11-21 18:01:59,1637546519,1500.016,2021-11-21 18:01:59,1637546519,2485.125,2021-11-21 18:01:59,1637546519,1555.230,2021-11-21 18:01:59,1637546519,929.895,2021-11-21 18:02:00,1637546520,1399.920,2021-11-21 18:02:04,1637546524,2202.890
2021-11-21 18:02:05,1637546525,999.903,2021-11-21 18:02:06,1637546526,1499.973,2021-11-21 18:02:06,1637546526,2478.780,2021-11-21 18:02:06,1637546526,1548.885,2021-11-21 18:02:06,1637546526,929.895,2021-11-21 18:02:07,1637546527,1399.920,2021-11-21 18:02:10,1637546530,2300.650
2021-11-21 18:02:11,1637546531,999.903,2021-11-21 18:02:12,1637546532,1499.973,2021-11-21 18:02:12,1637546532,2478.780,2021-11-21 18:02:12,1637546532,1548.885,2021-11-21 18:02:12,1637546532,929.895,2021-11-21 18:02:13,1637546533,1399.920,2021-11-21 18:02:13,1637546533,2300.650
2021-11-21 18:02:14,1637546534,999.903,2021-11-21 18:02:15,1637546535,1499.973,2021-11-21 18:02:15,1637546535,2478.780,2021-11-21 18:02:15,1637546535,1548.885,2021-11-21 18:02:15,1637546535,929.895,2021-11-21 18:02:17,1637546537,1399.920,2021-11-21 18:02:19,1637546539,2300.650
2021-11-21 18:02:21,1637546541,999.903,2021-11-21 18:02:22,1637546542,1500.016,2021-11-21 18:02:22,1637546542,2485.125,2021-11-21 18:02:22,1637546542,1555.230,2021-11-21 18:02:22,1637546542,929.895,2021-11-21 18:02:23,1637546543,1399.920,2021-11-21 18:02:26,1637546546,2300.650
2021-11-21 18:02:27,1637546547,1099.917,2021-11-21 18:02:28,1637546548,1500.016,2021-11-21 18:02:28,1637546548,2584.295,2021-11-21 18:02:28,1637546548,1654.400,2021-11-21 18:02:28,1637546548,929.895,2021-11-21 18:02:29,1637546549,1399.920,2021-11-21 18:02:32,1637546552,2300.650
2021-11-21 18:02:33,1637546553,999.903,2021-11-21 18:02:35,1637546555,1499.973,2021-11-21 18:02:35,1637546555,2478.780,2021-11-21 18:02:35,1637546555,1548.885,2021-11-21 18:02:35,1637546555,929.895,2021-11-21 18:02:36,1637546556,1399.920,2021-11-21 18:02:39,1637546559,2300.650
2021-11-21 18:02:40,1637546560,999.903,2021-11-21 18:02:42,1637546562,1499.973,2021-11-21 18:02:42,1637546562,2478.780,2021-11-21 18:02:42,1637546562,1548.885,2021-11-21 18:02:42,1637546562,929.895,2021-11-21 18:02:43,1637546563,1399.920,2021-11-21 18:02:46,1637546566,2202.890
2021-11-21 18:02:47,1637546567,999.903,2021-11-21 18:02:48,1637546568,1499.973,2021-11-21 18:02:48,1637546568,2478.780,2021-11-21 18:02:48,1637546568,1548.885,2021-11-21 18:02:48,1637546568,929.895,2021-11-21 18:02:49,1637546569,1399.920,2021-11-21 18:02:49,1637546569,2300.650
2021-11-21 18:02:51,1637546571,1099.917,2021-11-21 18:02:53,1637546573,1499.973,2021-11-21 18:02:53,1637546573,2577.950,2021-11-21 18:02:53,1637546573,1648.055,2021-11-21 18:02:53,1637546573,929.895,2021-11-21 18:02:54,1637546574,1300.080,2021-11-21 18:02:54,1637546574,2202.890
2021-11-21 18:02:55,1637546575,999.903,2021-11-21 18:02:56,1637546576,1399.952,2021-11-21 18:02:56,1637546576,2385.485,2021-11-21 18:02:56,1637546576,1455.590,2021-11-21 18:02:56,1637546576,929.895,2021-11-21 18:02:58,1637546578,1399.920,2021-11-21 18:03:01,1637546581,2202.890
2021-11-21 18:03:02,1637546582,999.903,2021-11-21 18:03:03,1637546583,1399.952,2021-11-21 18:03:03,1637546583,2385.485,2021-11-21 18:03:03,1637546583,1455.590,2021-11-21 18:03:03,1637546583,929.895,2021-11-21 18:03:04,1637546584,1399.920,2021-11-21 18:03:04,1637546584,2300.650
2021-11-21 18:03:05,1637546585,999.903,2021-11-21 18:03:06,1637546586,1500.016,2021-11-21 18:03:06,1637546586,2485.125,2021-11-21 18:03:06,1637546586,1555.230,2021-11-21 18:03:06,1637546586,929.895,2021-11-21 18:03:08,1637546588,1399.920,2021-11-21 18:03:12,1637546592,2300.650
2021-11-21 18:03:17,1637546597,1199.931,2021-11-21 18:03:18,1637546598,1499.973,2021-11-21 18:03:18,1637546598,2677.120,2021-11-21 18:03:18,1637546598,1747.225,2021-11-21 18:03:18,1637546598,929.895,2021-11-21 18:03:20,1637546600,1399.920,2021-11-21 18:03:24,1637546604,2202.890
2021-11-21 18:03:25,1637546605,1099.917,2021-11-21 18:03:26,1637546606,1499.973,2021-11-21 18:03:26,1637546606,2577.950,2021-11-21 18:03:26,1637546606,1648.055,2021-11-21 18:03:26,1637546606,929.895,2021-11-21 18:03:27,1637546607,1399.920,2021-11-21 18:03:27,1637546607,2300.650
2021-11-21 18:03:28,1637546608,1099.917,2021-11-21 18:03:29,1637546609,1599.987,2021-11-21 18:03:29,1637546609,2677.120,2021-11-21 18:03:29,1637546609,1747.225,2021-11-21 18:03:29,1637546609,929.895,2021-11-21 18:03:30,1637546610,1500.000,2021-11-21 18:03:33,1637546613,2300.650
2021-11-21 18:03:35,1637546615,1099.917,2021-11-21 18:03:36,1637546616,1499.973,2021-11-21 18:03:36,1637546616,2577.950,2021-11-21 18:03:36,1637546616,1648.055,2021-11-21 18:03:36,1637546616,929.895,2021-11-21 18:03:37,1637546617,1399.920,2021-11-21 18:03:40,1637546620,2300.650
2021-11-21 18:03:41,1637546621,1099.917,2021-11-21 18:03:42,1637546622,1499.973,2021-11-21 18:03:42,1637546622,2577.950,2021-11-21 18:03:42,1637546622,1648.055,2021-11-21 18:03:42,1637546622,929.895,2021-11-21 18:03:44,1637546624,1399.920,2021-11-21 18:03:47,1637546627,2300.650
2021-11-21 18:03:48,1637546628,1099.917,2021-11-21 18:03:49,1637546629,1499.973,2021-11-21 18:03:49,1637546629,2577.950,2021-11-21 18:03:49,1637546629,1648.055,2021-11-21 18:03:49,1637546629,929.895,2021-11-21 18:03:51,1637546631,1399.969,2021-11-21 18:03:53,1637546633,2295.010
2021-11-21 18:03:54,1637546634,1099.917,2021-11-21 18:03:55,1637546635,1499.973,2021-11-21 18:03:55,1637546635,2577.950,2021-11-21 18:03:55,1637546635,1648.055,2021-11-21 18:03:55,1637546635,929.895,2021-11-21 18:03:57,1637546637,1399.969,2021-11-21 18:04:00,1637546640,2300.650
2021-11-21 18:04:01,1637546641,999.903,2021-11-21 18:04:01,1637546641,1499.973,2021-11-21 18:04:01,1637546641,2478.780,2021-11-21 18:04:01,1637546641,1548.885,2021-11-21 18:04:01,1637546641,929.895,2021-11-21 18:04:03,1637546643,1399.920,2021-11-21 18:04:06,1637546646,2300.650
2021-11-21 18:04:07,1637546647,999.903,2021-11-21 18:04:08,1637546648,1499.973,2021-11-21 18:04:08,1637546648,2478.780,2021-11-21 18:04:08,1637546648,1548.885,2021-11-21 18:04:08,1637546648,929.895,2021-11-21 18:04:09,1637546649,1399.920,2021-11-21 18:04:13,1637546653,2300.650
2021-11-21 18:04:16,1637546656,1099.917,2021-11-21 18:04:16,1637546656,1499.973,2021-11-21 18:04:16,1637546656,2573.485,2021-11-21 18:04:16,1637546656,1643.590,2021-11-21 18:04:16,1637546656,929.895,2021-11-21 18:04:17,1637546657,1399.920,2021-11-21 18:04:20,1637546660,2300.650
2021-11-21 18:04:21,1637546661,1099.917,2021-11-21 18:04:22,1637546662,400.056,2021-11-21 18:04:22,1637546662,1487.315,2021-11-21 18:04:22,1637546662,0.000,2021-11-21 18:04:22,1637546662,1487.315,2021-11-21 18:04:23,1637546663,799.920,2021-11-21 18:04:27,1637546667,0.000
