Number of Batteries,Expected Latency
1,19.0074
2,22.82844
3,25.056744
4,26.561380800000002
5,27.66301344
6,28.504380863999998
7,29.161117862399998
8,29.679552468479997
9,30.091234159103998
10,30.4191753821184
11,30.680858602967042
12,30.88987211982029
13,31.05691055662449
14,31.19044885201404
15,31.297228402327978
16,31.382623145085
17,31.45092230234206
18,31.505551926578974
19,31.549249917263673
20,31.584204929482336
21,31.612166929017192
22,31.634535329683946
23,31.652429333713833
24,31.6667441081849
25,31.678195670969743
26,31.687356767306305
27,31.694685552114315
28,31.700548524633398
29,31.705238869464043
30,31.708991125422493
31,31.711992918247493
32,31.714394345343187
33,31.716315482721466
34,31.717852390045245
35,31.719081914357005
36,31.720065532878078
37,31.72085242713794
38,31.721481942211636
39,31.72198555407008
40,31.72238844343653
41,31.7227107548575
42,31.722968603950964
43,31.723174883199754
44,31.72333990658319
45,31.72347192528058
46,31.723577540232885
47,31.723662032191363
48,31.72372962575612
49,31.723783700606713
50,31.723826960486463
51,31.72386156838982
52,31.72388925471225
53,31.723911403770035
54,31.723929123016173
55,31.723943298413023
56,31.72395463873047
57,31.723963710984407
58,31.72397096878754
59,31.723976775030046
60,31.72398142002404
61,31.72398513601924
62,31.723988108815394
63,31.72399048705232
64,31.723992389641854
65,31.72399391171348
66,31.72399512937079
67,31.723996103496628
68,31.7239968827973
69,31.72399750623784
70,31.72399800499028
71,31.72399840399222
72,31.723998723193777
73,31.723998978555024
74,31.723999182844018
75,31.723999346275214
76,31.723999477020172
77,31.723999581616134
78,31.723999665292908
79,31.723999732234326
80,31.72399978578746
81,31.723999828629967
82,31.723999862903977
83,31.723999890323178
84,31.723999912258545
85,31.723999929806837
86,31.723999943845467
87,31.723999955076376
88,31.7239999640611
89,31.723999971248883
90,31.723999976999103
91,31.72399998159928
92,31.723999985279423
93,31.72399998822354
94,31.723999990578832
95,31.723999992463064
96,31.723999993970455
97,31.72399999517636
98,31.723999996141092
99,31.72399999691287
100,31.723999997530296
101,31.723999998024237
102,31.72399999841939
103,31.72399999873551
104,31.723999998988408
105,31.723999999190728
106,31.72399999935258
107,31.723999999482068
108,31.723999999585654
109,31.72399999966852
110,31.72399999973482
111,31.723999999787853
112,31.723999999830284
113,31.723999999864226
114,31.723999999891383
115,31.723999999913108
116,31.723999999930484
117,31.723999999944386
118,31.72399999995551
119,31.72399999996441
120,31.723999999971525
121,31.72399999997722
122,31.72399999998178
123,31.72399999998542
124,31.723999999988337
125,31.72399999999067
126,31.72399999999254
127,31.723999999994028
128,31.723999999995225
129,31.723999999996177
130,31.723999999996945
131,31.723999999997556
132,31.723999999998043
133,31.723999999998433
134,31.72399999999875
135,31.723999999999
136,31.7239999999992
137,31.72399999999936
138,31.723999999999485
139,31.72399999999959
140,31.72399999999967
141,31.72399999999974
142,31.72399999999979
143,31.72399999999983
144,31.723999999999865
145,31.723999999999894
146,31.723999999999915
147,31.72399999999993
148,31.723999999999943
149,31.723999999999954
150,31.723999999999965
151,31.723999999999972
152,31.723999999999975
153,31.723999999999982
154,31.723999999999986
155,31.723999999999986
156,31.72399999999999
157,31.723999999999993
158,31.723999999999997
159,31.723999999999993
160,31.723999999999997
161,31.723999999999997
162,31.723999999999997
163,31.724
164,31.724
165,31.724
166,31.723999999999997
167,31.723999999999997
168,31.724
169,31.724
170,31.724
171,31.724
172,31.724
173,31.724
174,31.724
175,31.724
176,31.724
177,31.724
178,31.724
179,31.724
180,31.724
181,31.724
182,31.724
183,31.724
184,31.724
185,31.724
186,31.724
187,31.724
188,31.724
189,31.724
190,31.724
191,31.724
192,31.724
193,31.724
194,31.724
195,31.724
196,31.724
197,31.724
198,31.724
199,31.724
200,31.724
201,31.724
202,31.724
203,31.724
204,31.724
205,31.724
206,31.724
207,31.724
208,31.724
209,31.724
210,31.724
211,31.724
212,31.724
213,31.724
214,31.724
215,31.724
216,31.724
217,31.724
218,31.724
219,31.724
220,31.724
221,31.724
222,31.724
223,31.724
224,31.724
225,31.724
226,31.724
227,31.724
228,31.724
229,31.724
230,31.724
231,31.724
232,31.724
233,31.724
234,31.724
235,31.724
236,31.724
237,31.724
238,31.724
239,31.724
240,31.724
241,31.724
242,31.724
243,31.724
244,31.724
245,31.724
246,31.724
247,31.724
248,31.724
249,31.724
250,31.724
251,31.724
252,31.724
253,31.724
254,31.724
255,31.724
256,31.724
257,31.724
258,31.724
259,31.724
260,31.724
261,31.724
262,31.724
263,31.724
264,31.724
265,31.724
266,31.724
267,31.724
268,31.724
269,31.724
270,31.724
271,31.724
272,31.724
273,31.724
274,31.724
275,31.724
276,31.724
277,31.724
278,31.724
279,31.724
280,31.724
281,31.724
282,31.724
283,31.724
284,31.724
285,31.724
286,31.724
287,31.724
288,31.724
289,31.724
290,31.724
291,31.724
292,31.724
293,31.724
294,31.724
295,31.724
296,31.724
297,31.724
298,31.724
299,31.724
300,31.724
301,31.724
302,31.724
303,31.724
304,31.724
305,31.724
306,31.724
307,31.724
308,31.724
309,31.724
310,31.724
311,31.724
312,31.724
313,31.724
314,31.724
315,31.724
316,31.724
317,31.724
318,31.724
319,31.724
320,31.724
321,31.724
322,31.724
323,31.724
324,31.724
325,31.724
326,31.724
327,31.724
328,31.724
329,31.724
330,31.724
331,31.724
332,31.724
333,31.724
334,31.724
335,31.724
336,31.724
337,31.724
338,31.724
339,31.724
340,31.724
341,31.724
342,31.724
343,31.724
344,31.724
345,31.724
346,31.724
347,31.724
348,31.724
349,31.724
350,31.724
351,31.724
352,31.724
353,31.724
354,31.724
355,31.724
356,31.724
357,31.724
358,31.724
359,31.724
360,31.724
361,31.724
362,31.724
363,31.724
364,31.724
365,31.724
366,31.724
367,31.724
368,31.724
369,31.724
370,31.724
371,31.724
372,31.724
373,31.724
374,31.724
375,31.724
376,31.724
377,31.724
378,31.724
379,31.724
380,31.724
381,31.724
382,31.724
383,31.724
384,31.724
385,31.724
386,31.724
387,31.724
388,31.724
389,31.724
390,31.724
391,31.724
392,31.724
393,31.724
394,31.724
395,31.724
396,31.724
397,31.724
398,31.724
399,31.724
400,31.724
401,31.724
402,31.724
403,31.724
404,31.724
405,31.724
406,31.724
407,31.724
408,31.724
409,31.724
410,31.724
411,31.724
412,31.724
413,31.724
414,31.724
415,31.724
416,31.724
417,31.724
418,31.724
419,31.724
420,31.724
421,31.724
422,31.724
423,31.724
424,31.724
425,31.724
426,31.724
427,31.724
428,31.724
429,31.724
430,31.724
431,31.724
432,31.724
433,31.724
434,31.724
435,31.724
436,31.724
437,31.724
438,31.724
439,31.724
440,31.724
441,31.724
442,31.724
443,31.724
444,31.724
445,31.724
446,31.724
447,31.724
448,31.724
449,31.724
450,31.724
451,31.724
452,31.724
453,31.724
454,31.724
455,31.724
456,31.724
457,31.724
458,31.724
459,31.724
460,31.724
461,31.724
462,31.724
463,31.724
464,31.724
465,31.724
466,31.724
467,31.724
468,31.724
469,31.724
470,31.724
471,31.724
472,31.724
473,31.724
474,31.724
475,31.724
476,31.724
477,31.724
478,31.724
479,31.724
480,31.724
481,31.724
482,31.724
483,31.724
484,31.724
485,31.724
486,31.724
487,31.724
488,31.724
489,31.724
490,31.724
491,31.724
492,31.724
493,31.724
494,31.724
495,31.724
496,31.724
497,31.724
498,31.724
499,31.724
500,31.724
501,31.724
502,31.724
503,31.724
504,31.724
505,31.724
506,31.724
507,31.724
508,31.724
509,31.724
510,31.724
511,31.724
512,31.724
513,31.724
514,31.724
515,31.724
516,31.724
517,31.724
518,31.724
519,31.724
520,31.724
521,31.724
522,31.724
523,31.724
524,31.724
525,31.724
526,31.724
527,31.724
528,31.724
529,31.724
530,31.724
531,31.724
532,31.724
533,31.724
534,31.724
535,31.724
536,31.724
537,31.724
538,31.724
539,31.724
540,31.724
541,31.724
542,31.724
543,31.724
544,31.724
545,31.724
546,31.724
547,31.724
548,31.724
549,31.724
550,31.724
551,31.724
552,31.724
553,31.724
554,31.724
555,31.724
556,31.724
557,31.724
558,31.724
559,31.724
560,31.724
561,31.724
562,31.724
563,31.724
564,31.724
565,31.724
566,31.724
567,31.724
568,31.724
569,31.724
570,31.724
571,31.724
572,31.724
573,31.724
574,31.724
575,31.724
576,31.724
577,31.724
578,31.724
579,31.724
580,31.724
581,31.724
582,31.724
583,31.724
584,31.724
585,31.724
586,31.724
587,31.724
588,31.724
589,31.724
590,31.724
591,31.724
592,31.724
593,31.724
594,31.724
595,31.724
596,31.724
597,31.724
598,31.724
599,31.724
600,31.724
601,31.724
602,31.724
603,31.724
604,31.724
605,31.724
606,31.724
607,31.724
608,31.724
609,31.724
610,31.724
611,31.724
612,31.724
613,31.724
614,31.724
615,31.724
616,31.724
617,31.724
618,31.724
619,31.724
620,31.724
621,31.724
622,31.724
623,31.724
624,31.724
625,31.724
626,31.724
627,31.724
628,31.724
629,31.724
630,31.724
631,31.724
632,31.724
633,31.724
634,31.724
635,31.724
636,31.724
637,31.724
638,31.724
639,31.724
640,31.724
641,31.724
642,31.724
643,31.724
644,31.724
645,31.724
646,31.724
647,31.724
648,31.724
649,31.724
650,31.724
651,31.724
652,31.724
653,31.724
654,31.724
655,31.724
656,31.724
657,31.724
658,31.724
659,31.724
660,31.724
661,31.724
662,31.724
663,31.724
664,31.724
665,31.724
666,31.724
667,31.724
668,31.724
669,31.724
670,31.724
671,31.724
672,31.724
673,31.724
674,31.724
675,31.724
676,31.724
677,31.724
678,31.724
679,31.724
680,31.724
681,31.724
682,31.724
683,31.724
684,31.724
685,31.724
686,31.724
687,31.724
688,31.724
689,31.724
690,31.724
691,31.724
692,31.724
693,31.724
694,31.724
695,31.724
696,31.724
697,31.724
698,31.724
699,31.724
700,31.724
701,31.724
702,31.724
703,31.724
704,31.724
705,31.724
706,31.724
707,31.724
708,31.724
709,31.724
710,31.724
711,31.724
712,31.724
713,31.724
714,31.724
715,31.724
716,31.724
717,31.724
718,31.724
719,31.724
720,31.724
721,31.724
722,31.724
723,31.724
724,31.724
725,31.724
726,31.724
727,31.724
728,31.724
729,31.724
730,31.724
731,31.724
